# d_x d_y d_z
8.9543e-01 5.2999e-02 7.4774e-01
1.6241e-01 4.9951e-01 3.4856e-01
3.1303e-01 3.4438e-01 2.9984e-01
7.1715e-01 2.0018e-01 4.1669e-01
5.1074e-01 5.3013e-01 1.0158e+00
4.6217e-02 4.5177e-01 8.9766e-01
4.6462e-01 5.1038e-01 1.1325e+00
3.0201e-01 6.9623e-01 4.4276e-01
4.9460e-01 1.1637e-02 1.0074e+00
1.3797e-01 1.4563e-01 6.2622e-01
5.5159e-01 4.9493e-01 5.9624e-01
4.3094e-02 6.0011e-01 6.4683e-01
6.3041e-01 2.4988e-01 8.4681e-01
6.4114e-01 4.2709e-01 3.0808e-01
5.0143e-01 4.7137e-01 5.8292e-01
